               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11552,            0.057229,            0.046863,             0.31509,            0.027778,            0.016683,            0.002566,             0.10113,            0.058899,            0.046377,             0.00023,             0.00023,             0.09793
                   1,            0.099996,             0.07097,            0.044082,             0.03771,             0.15545,              0.0392,            0.008867,            0.083965,            0.069313,             0.04343,          0.00046884,          0.00046884,            0.095769
                   2,            0.088355,             0.07974,            0.041328,             0.37713,             0.24065,             0.15504,            0.035956,            0.072796,            0.068949,             0.04031,          0.00070302,          0.00070302,            0.093603
                   3,            0.078002,            0.073605,            0.038404,             0.67622,             0.31597,             0.29119,            0.079473,            0.065931,            0.060972,            0.037932,          0.00092908,          0.00092908,            0.091429
                   4,            0.073278,            0.065118,            0.036135,             0.56719,             0.48171,             0.38532,             0.11707,            0.059674,            0.054438,            0.035643,           0.0011437,           0.0011437,            0.089244
                   5,            0.068461,            0.058613,            0.033267,             0.22038,             0.80535,             0.41412,             0.11626,            0.056562,             0.04837,            0.033131,           0.0013438,           0.0013438,            0.087044
                   6,            0.065583,            0.059103,            0.030612,             0.52969,             0.47839,             0.42204,             0.12597,            0.056203,            0.043968,            0.031448,           0.0015265,           0.0015265,            0.084826
                   7,            0.063998,            0.050497,            0.028851,             0.30833,             0.83494,             0.43981,             0.13013,            0.054445,            0.039901,            0.029804,           0.0016892,           0.0016892,            0.082589
                   8,            0.062487,            0.045902,            0.028259,             0.34096,             0.82989,             0.48769,             0.19896,            0.051866,            0.037054,            0.028788,           0.0018299,           0.0018299,             0.08033
                   9,            0.062792,            0.047242,            0.027112,             0.41212,             0.77334,             0.60052,             0.22526,            0.048757,            0.036948,              0.0271,           0.0019467,           0.0019467,            0.078047
                  10,            0.059078,            0.045093,            0.026043,             0.54602,             0.62103,             0.65289,             0.28853,            0.049896,            0.034509,             0.02601,           0.0020383,           0.0020383,            0.075738
                  11,            0.062592,            0.044518,            0.024987,             0.42725,             0.63488,             0.55317,             0.19453,            0.057803,            0.034794,            0.024971,           0.0021038,           0.0021038,            0.073404
                  12,            0.060773,            0.043881,            0.023607,             0.56598,             0.67809,             0.69093,             0.22594,            0.053112,            0.033961,            0.023335,            0.002143,            0.002143,            0.071043
                  13,            0.062079,            0.044482,            0.021872,             0.52991,             0.71851,             0.66148,             0.27295,            0.053598,            0.033325,            0.021013,           0.0021559,           0.0021559,            0.068656
                  14,            0.061453,            0.039914,            0.020462,             0.65131,             0.83773,             0.75468,             0.29997,             0.04994,            0.033669,            0.017912,           0.0021434,           0.0021434,            0.066243
                  15,            0.058512,            0.041256,             0.01808,             0.59307,             0.85339,             0.72674,             0.27046,             0.04967,            0.032433,            0.015166,           0.0021065,           0.0021065,            0.063807
                  16,            0.056367,            0.040029,            0.015603,             0.56236,             0.81468,             0.72425,             0.26037,            0.049559,             0.03187,            0.012609,           0.0020471,           0.0020471,            0.061347
                  17,            0.054963,             0.04024,            0.013295,             0.69186,             0.81296,             0.81576,             0.26071,            0.051505,            0.031787,            0.010188,           0.0019673,           0.0019673,            0.058867
                  18,            0.055514,            0.037512,            0.011437,             0.74339,             0.89132,             0.82993,             0.28354,            0.046236,            0.031653,           0.0083408,           0.0018698,           0.0018698,             0.05637
                  19,            0.056958,              0.0402,            0.010059,             0.63468,             0.91861,             0.70302,              0.2848,            0.049728,            0.031726,           0.0075097,           0.0017578,           0.0017578,            0.053858
                  20,            0.053713,            0.036944,           0.0090066,             0.76781,             0.89276,             0.86538,             0.37479,            0.045002,            0.031141,           0.0068083,           0.0016348,           0.0016348,            0.051335
                  21,            0.052947,            0.039556,           0.0086098,             0.80617,             0.93238,             0.92171,             0.44342,            0.043667,            0.030713,           0.0060025,           0.0015046,           0.0015046,            0.048805
                  22,            0.050215,            0.037414,           0.0079734,              0.9173,             0.91589,             0.96417,             0.46628,            0.040217,            0.030564,           0.0054802,           0.0013714,           0.0013714,            0.046271
                  23,            0.046909,             0.03705,           0.0079102,             0.90654,             0.94488,              0.9698,             0.48216,            0.038862,            0.029813,           0.0049435,           0.0012396,           0.0012396,             0.04374
                  24,              0.0447,            0.035799,           0.0068209,             0.90672,             0.88928,             0.95808,             0.49385,            0.037678,            0.030042,           0.0045644,           0.0011138,           0.0011138,            0.041214
                  25,            0.042055,             0.03705,            0.006455,             0.85704,             0.90453,             0.94951,             0.46561,            0.040295,            0.030046,           0.0042632,           0.0009986,           0.0009986,            0.038699
                  26,            0.041414,            0.035571,           0.0061939,             0.91797,             0.96943,              0.9675,             0.47564,            0.038931,            0.029782,           0.0040909,          0.00089871,          0.00089871,            0.036199
                  27,            0.044687,             0.03638,           0.0059112,             0.99167,             0.97069,             0.98605,              0.5497,            0.033901,            0.028948,           0.0038851,          0.00081878,          0.00081878,            0.033719
                  28,             0.04279,            0.035536,           0.0056733,             0.90815,             0.96252,             0.96195,             0.50115,             0.03905,            0.029213,           0.0038003,          0.00076334,          0.00076334,            0.031263
                  29,            0.046689,            0.035907,           0.0057206,             0.96877,             0.95817,              0.9802,             0.45258,            0.041108,            0.029248,           0.0038088,          0.00073672,          0.00073672,            0.028837
